,road,county,city,state
1799,Dauchy Avenue,Riverside County,,California
1800,Otay Mountain Truck Trail,San Diego County,,California
1801,Monte Vista Drive,San Diego County,Vista,California
1802,South Alameda Street,Los Angeles County,,California
1803,Sacramento Street,,San Francisco,California
1804,Avenida Herrera,Riverside County,,California
1805,East Zeering Road,Stanislaus County,,California
1806,Gloria Avenue,Los Angeles County,Los Angeles,California
1807,Houston Avenue,Kings County,Hanford,California
1808,Airdrome Street,Los Angeles County,Los Angeles,California
1809,Highland Avenue,San Diego County,,California
1810,Main Street,Riverside County,Indio,California
1811,Glenoaks Boulevard,Los Angeles County,Burbank,California
1812,Laura Way,Alameda County,,California
1813,Cyrier Avenue,Fresno County,,California
1814,Silliman Street,,San Francisco,California
1815,East California Avenue,Los Angeles County,Glendale,California
1816,,El Dorado County,,California
1817,,Lake County,,California
1818,Iowa Street,Orange County,,California
1819,Fir Street,San Joaquin County,Manteca,California
1820,6th Street,San Bernardino County,San Bernardino,California
1821,Paramount Boulevard,Los Angeles County,,California
1822,North Sabina Street,Orange County,Anaheim,California
1823,Cambria,Orange County,Mission Viejo,California
1824,Benito Avenue,Los Angeles County,,California
1825,Louise Avenue,Los Angeles County,Los Angeles,California
1826,Highland Court,San Bernardino County,Ontario,California
1827,West Cortner Street,Kings County,Hanford,California
1828,19th Street,Contra Costa County,,California
1829,Sierra Road,Stanislaus County,Oakdale,California
1830,Sierra Way,San Diego County,Chula Vista,California
1831,East Prospect Street,San Diego County,Chula Vista,California
1832,North Alta Road,Monterey County,Gonzales,California
1833,Antelope Valley Freeway,Los Angeles County,Lancaster,California
1834,Kittridge Street,Los Angeles County,Los Angeles,California
1835,Goss Canyon Avenue,Los Angeles County,,California
1836,North Golden State Boulevard,Stanislaus County,Turlock,California
1837,South Coast Drive,Orange County,Costa Mesa,California
1838,Washington Avenue,Los Angeles County,Santa Monica,California
1839,East Dinuba Avenue,Fresno County,,California
1840,Y Avenue,Riverside County,,California
1841,West Washington Boulevard,Los Angeles County,Pasadena,California
1842,Chorus Frog Trail,Contra Costa County,,California
1843,Devoy Drive,Orange County,Anaheim,California
1844,East 32nd Street,Alameda County,Oakland,California
1845,Daphne Avenue,Los Angeles County,,California
1846,Ashland Avenue,Los Angeles County,Santa Monica,California
1847,Avenue 168,Tulare County,,California
1848,Reservoir Road,Butte County,,California
1849,Grove Shafter Freeway,Alameda County,Oakland,California
1850,Railroad Avenue,Marin County,,California
1851,Tennessee Street,Solano County,Vallejo,California
1852,,Sutter County,,California
1853,La Veta Avenue,Orange County,Santa Ana,California
1854,Ricks Ranch Road,San Diego County,,California
1855,Pepper Avenue,Marin County,Larkspur,California
1856,20th Street,Sacramento County,Sacramento,California
1857,Newland Street,Orange County,Huntington Beach,California
1858,,Shasta County,,California
1859,Kempton Road,Sutter County,,California
1860,North School Street,Santa Barbara County,Santa Maria,California
1861,West Roderick Avenue,Ventura County,Oxnard,California
1862,North California Avenue,Los Angeles County,City of Industry,California
1863,,Lake County,,California
1864,Grenoble Drive,Calaveras County,,California
1865,Valley View Avenue,Los Angeles County,,California
1866,Foster Road,Los Angeles County,,California
1867,,Ventura County,,California
1868,Linden Street,Alameda County,Oakland,California
1869,Indian Drive,Placer County,,California
1870,Debra Avenue,Los Angeles County,Los Angeles,California
1871,Plainview Circle,Orange County,,California
1872,North Dawson Drive,Ventura County,,California
1873,North Fuller Avenue,Los Angeles County,,California
1874,East Huntington Boulevard,Fresno County,Fresno,California
1875,Condon Drive,San Diego County,San Diego,California
1876,South Manhattan Place,Los Angeles County,Los Angeles,California
1877,Bellevue Avenue,Los Angeles County,Los Angeles,California
1878,,Solano County,Vallejo,California
1879,Calera Creek Heights Drive,Santa Clara County,Milpitas,California
1880,East Bush Street,Kings County,,California
1881,Easy Avenue,Los Angeles County,Long Beach,California
1882,Parmelee Avenue,Los Angeles County,,California
1883,Tully Road,Santa Clara County,San Jose,California
1884,Claremont Avenue,Alameda County,Oakland,California
1885,Ashridge Lane,Santa Clara County,San Jose,California
1886,Forest Route 40N61,Siskiyou County,,California
1887,Harmon Street,Alameda County,Berkeley,California
1888,Edgeridge Drive,Los Angeles County,El Monte,California
1889,Elkwood Drive,Contra Costa County,Concord,California
1890,Conejo Crest Trail,Ventura County,Thousand Oaks,California
1891,Foye Drive,Contra Costa County,,California
1892,Louisiana Street,San Diego County,San Diego,California
1893,North Fuller Avenue,Los Angeles County,,California
1894,Jim Drive,Santa Clara County,San Jose,California
1895,,Imperial County,,California
1896,River Oaks Lane,San Diego County,,California
1897,West American Avenue,Fresno County,,California
1898,41st Street,Sacramento County,,California
1899,El Amigo Road,San Diego County,San Diego,California
1900,Encino Vista Drive,Ventura County,Thousand Oaks,California
1901,Glen Hanleigh Drive,Santa Clara County,San Jose,California
1902,,Yuba County,,California
1903,Hanna Avenue,Kings County,,California
1904,East Shields Avenue,Fresno County,Fresno,California
1905,Falls Trail,Los Angeles County,,California
1906,Warren Street,Riverside County,Riverside,California
1907,Lakeland Drive,Placer County,,California
1908,East Placer Street,Placer County,,California
1909,Division Street,Los Angeles County,Lancaster,California
1910,East Ryals Lane,Orange County,Orange,California
1911,Bryant Street,,San Francisco,California
1912,Scenic Avenue,Alameda County,,California
1913,Palatine Court,Shasta County,Redding,California
1914,White Rock Road,Sacramento County,,California
1915,Cedar Avenue,Los Angeles County,Burbank,California
1916,Broadway,San Mateo County,,California
1917,Marion Lane,San Diego County,Escondido,California
1918,American River Canyon Drive,Sacramento County,,California
1919,North Broadway,Los Angeles County,Los Angeles,California
1920,Foothill Drive,San Diego County,Vista,California
1921,West Kenneth Road,Los Angeles County,Glendale,California
1922,177th Street,Los Angeles County,Torrance,California
1923,Millard Canyon Road,Riverside County,,California
1924,Scirocco Drive,Sutter County,Yuba City,California
1925,Jarvis Avenue,Santa Clara County,San Jose,California
1926,2nd Street,Kern County,,California
1927,Cedar Street,Alameda County,,California
1928,Avenida Herrera,Riverside County,,California
1929,Manzanita Avenue,San Mateo County,,California
1930,Fern Street,San Diego County,San Diego,California
1931,North School Street,Tulare County,,California
1932,Mayflower Avenue,Los Angeles County,,California
1933,East Juanita Avenue,Los Angeles County,,California
1934,The Shops Boulevard,Orange County,Mission Viejo,California
1935,Peacock Boulevard,Contra Costa County,,California
1936,North Arrowhead Avenue,San Bernardino County,San Bernardino,California
1937,West Cedar Avenue,Los Angeles County,Burbank,California
1938,North Jackson Street,Los Angeles County,Glendale,California
1939,Gainford Street,Los Angeles County,Los Angeles,California
1940,Golden State Freeway,Los Angeles County,,California
1941,Cabrillo Avenue,Santa Clara County,Santa Clara,California
1942,North Ashley Lane,San Joaquin County,,California
1943,North State Street,Mendocino County,,California
1944,Sunset Place East,Orange County,,California
1945,Byxbee Street,,San Francisco,California
1946,Mulford Road,Sonoma County,,California
1947,25th Street,,San Francisco,California
1948,Meridian Ridge Road,Contra Costa County,,California
1949,Hoen Avenue,Sonoma County,Santa Rosa,California
1950,Beachwood Terrace,Los Angeles County,Los Angeles,California
1951,East Dayton Avenue,Fresno County,Fresno,California
1952,Bancroft Way,Alameda County,Berkeley,California
1953,Clark Avenue,Alameda County,,California
1954,Foothill Boulevard,Alameda County,Oakland,California
1955,Garden Drive,San Bernardino County,San Bernardino,California
1956,Carrier Lane,Sonoma County,,California
1957,Redwood Highway,Humboldt County,,California
1958,,San Diego County,San Diego,California
1959,North Imperial Avenue,Imperial County,El Centro,California
1960,Edmar Lane,Santa Cruz County,,California
1961,Woodstead Avenue,Los Angeles County,,California
1962,East 4th Street,Kern County,Bakersfield,California
1963,San Benito Street,San Bernardino County,San Bernardino,California
1964,San Benito Street,Alameda County,Hayward,California
1965,Joe Rodota Trail,Sonoma County,Sebastopol,California
1966,Ocana Avenue,Los Angeles County,,California
1967,10th Street,Alameda County,Oakland,California
1968,Ledge Street,San Diego County,,California
1969,Cameron Drive,Riverside County,,California
1970,South Grand Avenue,Los Angeles County,Los Angeles,California
1971,Iowa Street,Orange County,,California
1972,Teagarden Street,Alameda County,,California
1973,Fitzgerald Avenue,,San Francisco,California
1974,Tara Road,Contra Costa County,,California
1975,Benito Street,Monterey County,Soledad,California
1976,Grant Avenue,Alameda County,,California
1977,Madera Avenue,Alameda County,Oakland,California
1978,Mesita Way,Santa Clara County,San Jose,California
1979,Sexton Canyon Road,Ventura County,,California
1980,Almeria Avenue,San Bernardino County,Fontana,California
1981,Kelsey Street,Alameda County,Berkeley,California
1982,Glenoaks Boulevard North,Los Angeles County,Glendale,California
1983,San Gabriel River Trail,Los Angeles County,,California
1984,Ferry Street,Contra Costa County,,California
1985,Park Bristol Place,Santa Clara County,San Jose,California
1986,Dodowah Road,Placer County,,California
1987,South Manhattan Place,Los Angeles County,Los Angeles,California
1988,South Glenroy Avenue,Los Angeles County,Los Angeles,California
1989,,Fresno County,Fresno,California
1990,Claudia Court,Contra Costa County,Antioch,California
1991,Jensen Road,Monterey County,,California
1992,Sheffield Avenue,Riverside County,Riverside,California
1993,Magellan Drive,Alameda County,Oakland,California
1994,54th Street,San Diego County,San Diego,California
1995,Salvio Street,Contra Costa County,Concord,California
1996,J Street,San Diego County,San Diego,California
1997,Adobe Wells,Santa Clara County,Sunnyvale,California
1998,Willow Way,Lassen County,,California
1999,Terilyn Avenue,Santa Clara County,San Jose,California
2000,El Camino Real,San Luis Obispo County,San Luis Obispo,California
2001,Saint Marys Avenue,Tehama County,,California
2002,Falcon View Road,Madera County,,California
2003,Embassy Circle,Orange County,La Palma,California
2004,East 106th Street,Los Angeles County,Los Angeles,California
2005,Yarmouth Avenue,Los Angeles County,Los Angeles,California
2006,Hollywood Freeway,Los Angeles County,Los Angeles,California
2007,Shadyoak Drive,Sonoma County,Santa Rosa,California
2008,Cantara Street,Los Angeles County,Los Angeles,California
2009,Cardinal Street,Ventura County,Ventura,California
2010,Roberts Drive,San Diego County,San Diego,California
2011,Diamond Street,Shasta County,,California
2012,Valley Boulevard,Los Angeles County,City of Industry,California
2013,North Frederic Street,Los Angeles County,Burbank,California
2014,Avenida Presa,Riverside County,,California
2015,West 37th Place,Los Angeles County,Los Angeles,California
2016,Indian Ridge Trail,Nevada County,,California
2017,Five Harbors Drive,Orange County,Huntington Beach,California
2018,South Fig Avenue,Fresno County,Fresno,California
2019,South Taylor Place,San Bernardino County,Ontario,California
2020,East 17th Street,Orange County,Costa Mesa,California
2021,North 3rd Street,Alameda County,Hayward,California
2022,Avenida Cesar Chavez,Los Angeles County,,California
2023,Corte Soledad,Monterey County,Monterey,California
2024,Morse Drive,Monterey County,Pacific Grove,California
2025,Cressey Way,Merced County,Livingston,California
2026,,Sacramento County,,California
2027,San Simeon Street,Santa Clara County,Sunnyvale,California
2028,J Street,San Diego County,San Diego,California
2029,Norcrest Drive,Los Angeles County,,California
2030,Hazelnut Avenue,Orange County,,California
2031,Del Mar Avenue,Los Angeles County,,California
2032,Gage Avenue,Los Angeles County,El Monte,California
2033,Hellman Avenue,Los Angeles County,,California
2034,Morse Drive,Monterey County,Pacific Grove,California
2035,Village Drive,San Bernardino County,,California
2036,Gladstone Avenue,Los Angeles County,Los Angeles,California
2037,Woodhaven Place,Nevada County,,California
2038,Harbor Boulevard,Orange County,Santa Ana,California
2039,Dorel Drive,Santa Clara County,San Jose,California
2040,Helen Street,Los Angeles County,,California
2041,Chateau Court,Orange County,Stanton,California
2042,Tuscarora Court,Santa Clara County,San Jose,California
2043,Thomas Avenue,,San Francisco,California
2044,Hyacinth Lane,Santa Clara County,San Jose,California
2045,Guirado Street,Los Angeles County,Los Angeles,California
2046,Ocampo Drive,Los Angeles County,Los Angeles,California
2047,Park Avenue,Santa Clara County,San Jose,California
2048,,Colusa County,,California
2049,Pack Trail,Alpine County,,California
2050,Fillmore Drive,Orange County,Stanton,California
2051,Cardona Circle,Contra Costa County,San Ramon,California
2052,Webster Avenue,Los Angeles County,Long Beach,California
2053,East Commercial Street,Los Angeles County,Pomona,California
2054,McKinnon Street,Monterey County,,California
2055,Salem Street,San Bernardino County,,California
2056,Rosedale Avenue,Alameda County,Oakland,California
2057,,Riverside County,Indio,California
2058,Sunrise Way,Santa Barbara County,,California
2059,Glorietta Boulevard,San Diego County,,California
2060,Buchanan Road,Contra Costa County,Antioch,California
2061,Summit Avenue,Ventura County,Simi Valley,California
2062,Malone Road,Sonoma County,,California
2063,West Lodi Avenue,San Joaquin County,Lodi,California
2064,Primrose Avenue,Los Angeles County,,California
2065,Worley Road,Solano County,,California
2066,Old Quarry Road,Santa Clara County,San Jose,California
2067,East Coral Avenue,Orange County,Orange,California
2068,City Ranch Road,Los Angeles County,Palmdale,California
2069,Menlo Avenue,Los Angeles County,Los Angeles,California
2070,West Commonwealth Avenue,Orange County,,California
2071,Fairview Road,Orange County,Costa Mesa,California
2072,Bella Vista Court,Shasta County,,California
2073,Elizabeth Avenue,Los Angeles County,South Gate,California
2074,Primrose Avenue,Los Angeles County,,California
2075,Lake Road,Merced County,Merced,California
2076,Alamos Avenue,Sacramento County,Sacramento,California
2077,Minnehaha Street,Los Angeles County,Los Angeles,California
2078,Bay Street,Humboldt County,Eureka,California
2079,East Bales Street,Los Angeles County,,California
2080,East 58th Street,Los Angeles County,,California
2081,Florey Court,San Diego County,San Diego,California
2082,Julisa Court,Nevada County,,California
2083,,Riverside County,,California
2084,Shady Dell Road,Siskiyou County,,California
2085,Main Street,Santa Cruz County,,California
2086,Brucker Road,Ventura County,Oxnard,California
2087,Rambla de Las Flores,San Diego County,,California
2088,Templeton Street,Los Angeles County,,California
2089,Dicky Street,Los Angeles County,El Monte,California
2090,Norwood Avenue,Santa Clara County,San Jose,California
2091,Glenoaks Boulevard North,Los Angeles County,Glendale,California
2092,Caminito Empresa,San Diego County,,California
2093,East Bales Street,Los Angeles County,,California
2094,Bradford Street,,San Francisco,California
2095,El Camino Real,San Luis Obispo County,San Luis Obispo,California
2096,Johnson Street,Riverside County,,California
2097,West 135th Street,Los Angeles County,,California
2098,Anaheim Coves Trail,Orange County,Anaheim,California
2099,Enadia Way,Los Angeles County,Los Angeles,California
2100,North Anna Street,Fresno County,Fresno,California
2101,Juniper Street,San Diego County,San Diego,California
2102,,Mendocino County,,California
2103,East Hellman Avenue,Los Angeles County,,California
2104,East Parkway Boulevard,Solano County,,California
2105,Steprock Drive,Los Angeles County,,California
2106,Pine Tree Circle,Riverside County,,California
2107,Sycamore Avenue,Stanislaus County,,California
2108,Arrow Highway,Los Angeles County,Pomona,California
2109,Drum Canyon Road,Santa Barbara County,,California
2110,Valley Circle Boulevard,Los Angeles County,Los Angeles,California
2111,North Maria Avenue,Los Angeles County,,California
2112,Valley Boulevard,Los Angeles County,,California
2113,Ascot Avenue,Los Angeles County,Los Angeles,California
2114,Emerald Street,San Diego County,San Diego,California
2115,Silas Lane Trail,Ventura County,Thousand Oaks,California
2116,15th Street East,Los Angeles County,Palmdale,California
2117,Pomona Freeway,San Bernardino County,,California
2118,Calle la Primavera,Orange County,,California
2119,West Upland Avenue,Los Angeles County,Los Angeles,California
2120,San Bernardo Terrace,San Diego County,San Diego,California
2121,Flower Street,Los Angeles County,,California
2122,West Inyokern Road,Kern County,,California
2123,Wyant Road,Santa Barbara County,,California
2124,Blackfield Drive,Sacramento County,,California
2125,Crosstown Freeway,San Joaquin County,Stockton,California
2126,Gault Street,Los Angeles County,Los Angeles,California
2127,Birchcrest Road,Los Angeles County,Downey,California
2128,Lark Lane,El Dorado County,,California
2129,Gary Way,Sacramento County,,California
2130,Camino Santa Barbara,Alameda County,Fremont,California
2131,Manzanita Street,Orange County,Irvine,California
2132,West H Street,Merced County,,California
2133,McAllister Street,,San Francisco,California
2134,Winifred Court,Contra Costa County,Antioch,California
2135,Lassen Street,Los Angeles County,Los Angeles,California
2136,Santa Ana Freeway,Orange County,Anaheim,California
2137,Bille Road,Butte County,,California
2138,CA 99,San Joaquin County,Lodi,California
2139,Foster Road,Los Angeles County,Norwalk,California
2140,East Pryor Drive,Fresno County,Fresno,California
2141,Isabel Street,Los Angeles County,Los Angeles,California
2142,B Street,Sutter County,Yuba City,California
2143,South State College Boulevard,Orange County,Fullerton,California
2144,Orange Freeway,Orange County,Orange,California
2145,South Winchester Boulevard,Santa Clara County,San Jose,California
2146,Jamacha Road,San Diego County,El Cajon,California
2147,Roosevelt Avenue,Contra Costa County,Richmond,California
2148,Tunnel Road,Butte County,,California
2149,South 10th Street,Santa Clara County,San Jose,California
2150,La Milpita Road,Santa Barbara County,Santa Barbara,California
2151,Sturbridge Drive,Orange County,,California
2152,West Manchester Avenue,Los Angeles County,Los Angeles,California
2153,Granmere Court,Riverside County,Riverside,California
2154,South 7th Street,Stanislaus County,,California
2155,CA 65,Tulare County,Lindsay,California
2156,112th Street East,Los Angeles County,,California
2157,North Augusta Street,Fresno County,Fresno,California
2158,Mallorca Lane,Orange County,Mission Viejo,California
2159,Ventura Boulevard,Los Angeles County,Los Angeles,California
2160,Camino Oso,Kern County,,California
2161,Rose Street,Los Angeles County,,California
2162,Pacific Crest National Scenic Trail #2000,Plumas County,,California
2163,40th Street,Contra Costa County,Richmond,California
2164,Albatross Drive,Orange County,Costa Mesa,California
2165,Oro Street,San Diego County,El Cajon,California
2166,Marloma Drive,Los Angeles County,,California
2167,Charle Street,Orange County,Costa Mesa,California
2168,West 106th Street,Los Angeles County,Inglewood,California
2169,East Buckeyewood Avenue,Orange County,Orange,California
2170,South Siena Street,San Diego County,San Diego,California
2171,Hartglen Avenue,Ventura County,Thousand Oaks,California
2172,North Lemon Street,Orange County,,California
2173,Serin Drive,San Bernardino County,,California
2174,Aster Street,San Diego County,Escondido,California
2175,Oat Hill Road,Lake County,,California
2176,,Butte County,,California
2177,Arvilla Lane,San Diego County,El Cajon,California
2178,Gardendale Street,Los Angeles County,Downey,California
2179,Yucca Drive,Imperial County,El Centro,California
2180,Sea Ridge Road,San Diego County,Oceanside,California
2181,Claremont Drive,Kern County,,California
2182,Cedar Street,Butte County,,California
2183,30th Street,San Diego County,San Diego,California
2184,G Street,Merced County,Merced,California
2185,Fairmont Boulevard,Orange County,Yorba Linda,California
2186,Linden Avenue,San Bernardino County,,California
2187,Keswick Street,Los Angeles County,Los Angeles,California
2188,Cory Drive,Los Angeles County,Inglewood,California
2189,Love Creek Road,Santa Cruz County,,California
2190,,El Dorado County,,California
2191,Sweet Springs Street,Kern County,Bakersfield,California
2192,Central Avenue,Riverside County,Riverside,California
2193,Narbonne Avenue,Los Angeles County,,California
2194,East Cambridge Avenue,Fresno County,Fresno,California
2195,West 146th Street,Los Angeles County,Los Angeles,California
2196,El Camino Real,San Mateo County,,California
2197,Red Mountain Fire Road,Ventura County,,California
2198,West 227th Street,Los Angeles County,Los Angeles,California
2199,Bryant Street,,San Francisco,California
2200,Meadowcroft Way,Sonoma County,,California
2201,Twain Drive,Yuba County,,California
2202,Bedford Canyon Road,Riverside County,Corona,California
2203,Broadway,Los Angeles County,,California
2204,Studebaker Road,Los Angeles County,Norwalk,California
2205,Bowen Road,San Diego County,,California
2206,Avenue 452,Tulare County,,California
2207,Martin Luther King Junior Boulevard,Fresno County,Fresno,California
2208,Biola Avenue,Los Angeles County,,California
2209,Virginia Avenue,Kern County,Bakersfield,California
2210,Alberta Avenue,San Diego County,Oceanside,California
2211,3rd Avenue,Los Angeles County,Los Angeles,California
2212,Highland Avenue,San Diego County,,California
2213,Phantom Avenue,Santa Clara County,,California
2214,Calle De La Ladera,Orange County,Yorba Linda,California
2215,Truesdale Street,Los Angeles County,Los Angeles,California
2216,West 166th Street,Los Angeles County,,California
2217,South Street,Los Angeles County,,California
2218,Palomar Avenue,San Luis Obispo County,,California
2219,19th Street,Contra Costa County,,California
2220,Saturn Street,Los Angeles County,Los Angeles,California
2221,East San Antonio Drive,Los Angeles County,Long Beach,California
2222,Orvietto Drive,Placer County,Roseville,California
2223,South Pebble Beach Drive,Del Norte County,Crescent City,California
2224,East 12th Street,Alameda County,Hayward,California
2225,,San Diego County,San Diego,California
2226,CA 65,Tulare County,Porterville,California
2227,East Artesia Boulevard,Los Angeles County,,California
2228,Borson Street,Los Angeles County,Downey,California
2229,Needles Highway,San Bernardino County,,California
2230,San Gabriel River Bike Path,Los Angeles County,,California
2231,San Remo Drive,Orange County,,California
2232,Campbell Avenue,Ventura County,Thousand Oaks,California
2233,West Hillsdale Boulevard,San Mateo County,San Mateo,California
2234,Sunrise Lane,Inyo County,,California
2235,West Avenue J,Los Angeles County,Lancaster,California
2236,California Drive,San Mateo County,,California
2237,Gray Avenue,Sutter County,Yuba City,California
2238,Via de la Valle,San Diego County,,California
2239,Paula Drive,Santa Clara County,,California
2240,Geer Road,Stanislaus County,Turlock,California
2241,East Liberty Avenue,Fresno County,Fresno,California
2242,North Maroa Avenue,Fresno County,Fresno,California
2243,La Jolla Mesa Drive,San Diego County,San Diego,California
2244,Pico Canyon Service Road,Los Angeles County,,California
2245,Bayshore Bikeway,San Diego County,San Diego,California
2246,Chestnut Street,Los Angeles County,Pasadena,California
2247,Pinewood Drive,Sonoma County,Santa Rosa,California
2248,Meadow Creek Street,Kern County,Bakersfield,California
2249,Scout Avenue,Los Angeles County,,California
2250,,Los Angeles County,,California
2251,East Roosevelt Court,Tulare County,Visalia,California
2252,West Marshall Road,Stanislaus County,,California
2253,South Howard Street,Tulare County,,California
2254,39th Avenue,,San Francisco,California
2255,Coke Avenue,Los Angeles County,,California
2256,Cesar E Chavez Avenue,Los Angeles County,,California
2257,Beckington Lane,San Diego County,San Diego,California
2258,West Washington Boulevard,Los Angeles County,Los Angeles,California
2259,Poppy Peak Drive,Los Angeles County,Pasadena,California
2260,Fuller Drive,Kern County,,California
2261,Melrose Drive,Sacramento County,,California
2262,Narbonne Avenue,Los Angeles County,,California
2263,Samantha Place,Solano County,Vacaville,California
2264,13th Avenue,Sacramento County,Sacramento,California
2265,North Catalina Avenue,Los Angeles County,Pasadena,California
2266,,Sonoma County,,California
2267,Mohican Place,Lake County,,California
2268,Baldwin Avenue,Los Angeles County,,California
2269,,Napa County,,California
2270,Russo Drive,Santa Clara County,San Jose,California
2271,Colt Way,Santa Clara County,San Jose,California
2272,West 66th Street,Los Angeles County,Los Angeles,California
2273,Contra Costa Canal Trail,Contra Costa County,Pleasant Hill,California
2274,Hillside Boulevard,San Mateo County,South San Francisco,California
2275,Cordova Drive,Orange County,,California
2276,Fairhaven Avenue,Orange County,Santa Ana,California
2277,Fieldbrook Lane,Orange County,Cypress,California
2278,,Mariposa County,,California
2279,,Humboldt County,,California
2280,Enslen Avenue,Stanislaus County,Modesto,California
2281,Thelma Avenue,Orange County,La Palma,California
2282,Lockford Street,Los Angeles County,Los Angeles,California
2283,Moorpark Street,Los Angeles County,Los Angeles,California
2284,Sanchez Street,,San Francisco,California
2285,Bluff Drive,Merced County,,California
2286,Mission Street,,San Francisco,California
2287,Calle Miramar,Los Angeles County,,California
2288,Park Avenue,Riverside County,Riverside,California
2289,Lewis Avenue,Los Angeles County,Long Beach,California
2290,Bernard Street,Kern County,,California
2291,,Stanislaus County,,California
2292,Princeton Street,Sacramento County,Sacramento,California
2293,Wagner Avenue,Santa Cruz County,,California
2294,South Kellogg Avenue,Santa Barbara County,,California
2295,A Street,Sacramento County,,California
2296,La Presa Drive,Los Angeles County,Los Angeles,California
2297,Nelson Drive,Contra Costa County,Richmond,California
2298,South Williams Avenue,Los Angeles County,,California
2299,South Plymouth Boulevard,Los Angeles County,Los Angeles,California
2300,Bessie Mae Lane,Sonoma County,Petaluma,California
2301,Van Dervin Parkway,San Joaquin County,Stockton,California
2302,Purdue Avenue,Los Angeles County,Los Angeles,California
2303,Camino Alta Mira,Alameda County,,California
2304,Campus Way,Kern County,Bakersfield,California
2305,,Humboldt County,,California
2306,Hygeia Avenue,San Diego County,,California
2307,West El Camino Street,Santa Barbara County,Santa Maria,California
2308,Holly Street,San Mateo County,,California
2309,Calle Frederico,San Diego County,,California
2310,Cascade Wonderland Highway,Shasta County,Redding,California
2311,Kirby Lane,Contra Costa County,Walnut Creek,California
2312,West 18th Street,Orange County,Costa Mesa,California
2313,,Santa Cruz County,,California
2314,Clay Street,,San Francisco,California
2315,Navy Road,,San Francisco,California
2316,San Vicente Street,San Diego County,San Diego,California
2317,Pontiac Street,Kern County,Bakersfield,California
2318,,Humboldt County,,California
2319,Foster Road,Los Angeles County,Norwalk,California
2320,Acacia Drive,Orange County,,California
2321,Lynwood Drive,San Diego County,,California
2322,West Beach Avenue,Los Angeles County,Inglewood,California
2323,Haskell Street,Butte County,,California
2324,Bernhard Avenue,Contra Costa County,,California
2325,E Street,Imperial County,Brawley,California
2326,Paramount Boulevard,Los Angeles County,Long Beach,California
2327,Virtue Way,Mendocino County,,California
2328,Olive Road,Imperial County,El Centro,California
2329,Margo Avenue,Los Angeles County,Long Beach,California
2330,Poinsettia Avenue,San Diego County,Vista,California
2331,West del Monte Drive,Orange County,Anaheim,California
2332,East 23rd Street,Los Angeles County,Long Beach,California
2333,Shoreline Drive,Santa Barbara County,Santa Barbara,California
2334,Cross-Alameda Trail,Alameda County,,California
2335,Del Mar Avenue,Los Angeles County,,California
2336,Walgra Meadows Road,Placer County,,California
2337,Cowell Avenue,San Joaquin County,Manteca,California
2338,2nd Avenue,,San Francisco,California
2339,San Fernando Road West,Los Angeles County,Los Angeles,California
2340,Olympic Boulevard,Los Angeles County,Santa Monica,California
2341,2nd Avenue,,San Francisco,California
2342,Ramona Lane,Sonoma County,Petaluma,California
2343,Blue Jay Court,Yuba County,,California
2344,Grand Avenue,Riverside County,Lake Elsinore,California
2345,East 47th Place,Los Angeles County,Los Angeles,California
2346,Star Hill Road,San Mateo County,,California
2347,Gault Street,Los Angeles County,Los Angeles,California
2348,Jacob Dekema Freeway,San Diego County,San Diego,California
2349,Mount Acmar Court,San Diego County,San Diego,California
2350,McKain Street,Los Angeles County,,California
2351,Tracy Street,Los Angeles County,Baldwin Park,California
2352,Cherokee Lane,San Joaquin County,Lodi,California
2353,South Nutwood Street,Orange County,Anaheim,California
2354,West 77th Street,Los Angeles County,Inglewood,California
2355,Mallard Creek Circle,San Joaquin County,Stockton,California
2356,Holly Court,Santa Clara County,Mountain View,California
2357,Geary Boulevard,,San Francisco,California
2358,Locust Street,Tulare County,Porterville,California
2359,Broadway,Los Angeles County,,California
2360,Orange Grove Avenue,Los Angeles County,Burbank,California
2361,Canton Street,Los Angeles County,Long Beach,California
2362,Sage Street,Solano County,Vallejo,California
2363,East South Avenue,Fresno County,,California
2364,Junipero Serra Freeway,San Mateo County,Daly City,California
2365,Lerner Way,Sacramento County,Sacramento,California
2366,Rose Avenue,San Mateo County,Redwood City,California
2367,West Mabel Avenue,Los Angeles County,,California
2368,82nd Avenue,Alameda County,Oakland,California
2369,East Donner Avenue,Fresno County,Fresno,California
2370,Golf Center Parkway,Riverside County,Indio,California
2371,Allegan Street,Los Angeles County,,California
2372,Pocatello Court,Ventura County,Simi Valley,California
2373,Doreen Avenue,Los Angeles County,El Monte,California
2374,Paseo de Oro,Orange County,Cypress,California
2375,Frazier Mountain Park Road,Kern County,,California
2376,Langford Avenue,Kern County,,California
2377,South Cypress Avenue,Santa Clara County,San Jose,California
2378,Barlow Lane,Sonoma County,,California
2379,Parker Court,Santa Clara County,Santa Clara,California
2380,Delta De Anza Regional Trail,Contra Costa County,Antioch,California
2381,Palm Avenue,Sacramento County,,California
2382,Via Bolsa,Alameda County,,California
2383,Depot Road,Alameda County,Hayward,California
2384,Graffian Street,Alameda County,Oakland,California
2385,Capri Drive,Los Angeles County,Los Angeles,California
2386,Poplar Avenue,San Mateo County,South San Francisco,California
2387,South 20th Street,Contra Costa County,Richmond,California
2388,West 6th Street,Orange County,,California
2389,North California Street,Orange County,Orange,California
2390,Adelaide Street,Contra Costa County,Concord,California
